class,class size,val size,val n_correct,val accuracy
Amblypharyngodon melettinus,3,1,0, 0.000
Amblypharyngodon microlepis,3,1,0, 0.000
Amblypharyngodon mola,56,7,2,28.571
Amblypomacentrus breviceps,50,7,0, 0.000
Amblypomacentrus clarus,13,2,0, 0.000
Amblyraja badia,16,2,0, 0.000
Amblyraja doellojuradoi,4,1,0, 0.000
Amblyraja frerichsi,1,1,0, 0.000
Amblyraja georgiana,2,1,0, 0.000
Amblyraja hyperborea,17,3,1,33.333
Amblyraja jenseni,8,2,0, 0.000
Amblyraja radiata,164,20,6,30.000
Amblyrhynchichthys truncatus,21,3,2,66.667
Amblyrhynchotes honckenii,56,8,0, 0.000
Amblyrhynchotes rufopunctatus,7,1,0, 0.000
Ambophthalmos angustus,8,1,0, 0.000
Ambophthalmos magnicirrus,1,1,0, 0.000
Ameca splendens,330,40,23,57.500
Ameiurus brunneus,59,8,3,37.500
Ameiurus catus,71,8,0, 0.000
Ameiurus melas,180,22,3,13.636
Ameiurus natalis,123,15,0, 0.000
Ameiurus nebulosus,161,19,13,68.421
Ameiurus platycephalus,20,3,0, 0.000
Ameiurus serracanthus,47,6,1,16.667
Amia calva,270,32,15,46.875
Amioides polyacanthus,2,1,0, 0.000
Amissidens hainesi,2,1,0, 0.000
Ammocrypta bifascia,24,3,0, 0.000
Ammocrypta clara,141,17,2,11.765
Ammocrypta pellucida,71,8,0, 0.000
Ammocrypta vivax,17,3,0, 0.000
Ammocryptocharax elegans,59,8,0, 0.000
Ammocryptocharax lateralis,1,1,0, 0.000
Ammocryptocharax minutus,7,1,0, 0.000
Ammodytes americanus,44,6,0, 0.000
Ammodytes dubius,22,3,0, 0.000
Ammodytes hexapterus,40,6,0, 0.000
Ammodytes marinus,24,3,0, 0.000
Ammodytes personatus,61,7,3,42.857
Ammodytes tobianus,120,14,5,35.714
Ammodytoides gilli,8,1,0, 0.000
Ammolabrus dicrus,11,2,0, 0.000
Ammotretis elongatus,4,1,0, 0.000
Ammotretis lituratus,19,3,0, 0.000
Ammotretis rostratus,4,1,0, 0.000
Amniataba caudavittata,10,2,0, 0.000
Amniataba percoides,32,5,0, 0.000
Amoya gracilis,2,1,0, 0.000
Amoya signata,48,7,2,28.571
Amphelikturus dendriticus,16,3,0, 0.000
Amphichaetodon howensis,33,5,2,40.000
Amphichaetodon melbae,7,2,0, 0.000
Amphichthys cryptocentrus,16,3,0, 0.000
Amphilius atesuensis,8,2,0, 0.000
Amphilius jacksonii,4,1,0, 0.000
