commonName,scientificName,webpage,imageUrl,attribution,licenseCode,licenseUrl
Spotted mackerel,Scomberomorus munroi,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1273,Untitled Spotted mackerel by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Stout whiting,Sillago robusta,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1132,Untitled Stout whiting by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Tailor,Pomatomus saltatrix,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1138,Untitled Tailor by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Yellowfin bream,Acanthopagrus australis,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1195,Untitled Yellowfin bream by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Yellowfin tuna,Thunnus albacares,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1260,Untitled Yellowfin tuna by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Yellowtail kingfish,Seriola lalandi,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1142,Untitled Yellowtail kingfish by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Blue tuskfish,Choerodon cyanodus,UserImage,,,,
Blue maori,Epinephelus cyanopodus,http://fishesofaustralia.net.au/home/species/4666,http://fishesofaustralia.net.au/Images/Image/EpinephCyanopodAndyLewis.jpg,"A Purple Rockcod, Epinephelus cyanopodus, at Lizard Island, Great Barrier Reef, Queensland, March 2006. Source: Andy Lewis / http://lifg.australianmuseum.net.au/",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Northern saratoga,Scleropages jardinii,,,,,
Painted sweetlips,Diagramma pictum,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Diagramma&Species=pictum#,https://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1371884158_182.178.57.199.jpg,"Pakistan, Karachi, 19-6-13, 28 cm, by Hamid Badar Osmany",CC-BY,https://creativecommons.org/licenses/by/3.0/
,,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Diagramma&Species=pictum#,http://www.fishbase.us/tools/UploadPhoto/uploads/1371884176_182.178.57.199.jpg,"Pakistan, Karachi, 19-6-13, 28 cm, by Hamid Badar Osmany",CC-BY,https://creativecommons.org/licenses/by/3.0/
,,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Diagramma&Species=pictum#,http://www.fishbase.us/tools/UploadPhoto/uploads/1406827531_39.44.171.156.jpg,"Pakistan, Karachi, 22-5-14, 18 cm, by Hamid Badar Osmany",CC-BY,https://creativecommons.org/licenses/by/3.0/
,,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Diagramma&Species=pictum#,http://www.fishbase.us/tools/UploadPhoto/uploads/1406827610_39.44.171.80.jpg,"Pakistan, Karachi, 22-5-14, 18 cm, by Hamid Badar Osmany",CC-BY,https://creativecommons.org/licenses/by/3.0/
Spanish flag,Lutjanus carponotatus,http://fishesofaustralia.net.au/home/species/552,http://fishesofaustralia.net.au/Images/Image/LutjanCarponotKennethKFoster.jpg,"A Stripey Snapper, Lutjanus carponotatus, from Peart Reef off Innisfail, Queensland. Source: Kenneth Foster / Atlas of Living Australia.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Black-tipped rockcod,Epinephelus fasciatus, https://commons.wikimedia.org/w/index.php?curid=25564505,https://upload.wikimedia.org/wikipedia/commons/8/8d/Epinephelus_fasciatus_JNC1509.JPG,By Jean-Lou Justine - Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/
Queensland groper,Epinephelus lanceolatus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Epinephelus&Species=lanceolatus,http://www.fishbase.us/tools/UploadPhoto/uploads/1341073124_119.73.64.228.jpg,"Pakistan, Karachi Fish Harbour, Commercial landings, 51 cm, Collected and photographed by H. B. Osmany, by Muhammad Moazzam Khan",CC-BY,https://creativecommons.org/licenses/by/3.0/
,,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Epinephelus&Species=lanceolatus,http://www.fishbase.us/tools/UploadPhoto/uploads/1379837360_182.178.9.105.jpg,"Pakistan, Karachi, 18-9-13, 34 cm, by Hamid Badar Osmany",CC-BY,https://creativecommons.org/licenses/by/3.0/
,,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Epinephelus&Species=lanceolatus,http://www.fishbase.us/tools/UploadPhoto/uploads/1379837409_182.178.9.105.jpg,"Pakistan, Karachi, 18-9-13, 34 cm, by Hamid Badar Osmany",CC-BY,https://creativecommons.org/licenses/by/3.0/
Dark tailed seaperch,Lutjanus lemniscatus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Lutjanus&Species=lemniscatus#,http://www.fishbase.us/tools/UploadPhoto/uploads/1381257471_182.178.76.217.jpg,"Pakistan, Karachi, 28-9-13, 38 cm, by Hamid Badar Osmany",CC-BY,https://creativecommons.org/licenses/by/3.0/
Buffalo emperor,Lethrinus erythracanthus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Lethrinus&Species=erythracanthus#,http://www.fishbase.us/tools/UploadPhoto/uploads/Lethrinus_erythracanthus_2.jpg,"Maldives, Mirihi, Jan, 2012, by Rainer Kretzberg",CC-BY,https://creativecommons.org/licenses/by/3.0/
Blue spotted coral trout,Plectropomus laevis,https://commons.wikimedia.org/wiki/Plectropomus_laevis#/media/File:Plectropomus_laevis.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Plectropomus_laevis.jpg,"A Footballer Cod (Plectropomus laevis). Wheeler Reef, Great Barrier Reef. Richard Ling - Flickr.",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Saddletail snapper,Lutjanus malabaricus,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1166,Untitled Saddletail snapper by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Khaki grunter,Hephaestus tulliensis,,,,,
Red throat emperor,Lethrinus miniatus,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=1190,Untitled Red throat emperor by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
,,,http://www.fish.gov.au/fishgov/FishSearchService/FishGalleryImageRaw?mediaId=909,Untitled Red throat emperor by Fisheries Research and Development Corporation.,CC BY 3.0 AU,https://creativecommons.org/licenses/by/3.0/au/deed.en
Starry flounder,Platichthys stellatus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Platichthys&Species=stellatus#,http://www.fishbase.us/tools/UploadPhoto/uploads/1343525960_207.6.177.29.jpg,"Belcarra Bay, Indian Arm, 28th July, 2012, 43.0 TL, by Tim Loh",CC-BY,https://creativecommons.org/licenses/by/3.0/
Shortfin batfish,Zabidius novemaculeatus,,,,,
Black reef leatherjacket,Eubalichthys bucephalus,UserImage,,,,
